LocationAbbr,LocationDesc,Data_Value,Rate
AR,Sebastian,6,0
NC,Orange,17,1
NC,Pitt,23,2
OR,Umatilla,41,3
NC,Lee,46,4
NC,Guilford,54,5
VA,Harrisonburg City,54,6
OH,Hamilton,55,7
SC,Horry,61,8
MN,Dakota,65,9
IA,Muscatine,65,10
MN,Anoka,71,11
GA,Gordon,71,12
NC,Chatham,73,13
FL,Okaloosa,74,14
TX,Harris,75,15
WI,Walworth,75,16
NE,Douglas,76,17
VA,Albemarle,77,18
MA,Essex,79,19
MA,Hampshire,79,20
NC,Henderson,80,21
NH,Hillsborough,82,22
NC,Granville,84,23
UT,Summit,84,24
GA,Bartow,86,25
NH,Cheshire,86,26
GA,Georgia,86,27
TX,Jack,86,28
NC,Davidson,88,29
NC,Iredell,88,30
WV,Jefferson,89,31
WA,Mason,91,32
MA,Franklin,92,33
IA,Johnson,94,34
MI,Allegan,95,35
NC,Cabarrus,95,36
WA,Chelan,95,37
AZ,Yavapai,95,38
GA,Catoosa,96,39
MD,Montgomery,96,40
VA,Fairfax,97,41
MI,Barry,98,42
TX,Johnson,99,43
MO,Boone,100,44
TX,Parker,100,45
MN,Rice,100,46
OR,Benton,101,47
NY,Albany,102,48
NC,Chatham,102,49
TX,Dallas,102,50
WA,Benton,104,51
NY,Putnam,104,52
MI,Washtenaw,104,53
MA,Worcester,104,54
OR,Clatsop,105,55
NC,Currituck,105,56
VA,Fairfax,105,57
TX,Jack,105,58
WA,Okanogan,105,59
WI,Rock,105,60
MD,Montgomery,106,61
SC,South Carolina,106,62
IA,Scott,107,63
NE,Dodge,108,64
MD,Calvert,110,65
OR,Linn,110,66
MD,Carroll,111,67
MD,Maryland,111,68
OR,Oregon,111,69
GA,Spalding,111,70
WA,Yakima,111,71
TX,Galveston,112,72
CO,Pitkin,112,73
MA,Berkshire,113,74
GA,Paulding,113,75
CO,Pitkin,113,76
SD,South Dakota,113,77
IL,DeKalb,114,78
FL,Florida,114,79
NC,Franklin,114,80
OR,Lane,114,81
IL,St. Clair,114,82
WY,Teton,114,83
FL,Leon,115,84
IA,Madison,115,85
MD,Montgomery,115,86
VA,Chesapeake City,117,87
WA,King,117,88
OK,Osage,117,89
AL,Tuscaloosa,117,90
CT,Connecticut,118,91
TX,Fannin,118,92
NC,Nash,118,93
NJ,New Jersey,118,94
IN,Shelby,118,95
GA,Coweta,119,96
MO,Franklin,119,97
NY,Rockland,119,98
TX,Bastrop,121,99
OH,Ohio,122,100
SC,Charleston,123,101
FL,Hernando,123,102
FL,Hillsborough,123,103
TN,Lincoln,123,104
DE,Sussex,123,105
TX,Waller,123,106
PA,Adams,124,107
NC,North Carolina,124,108
TX,Bosque,125,109
PA,Bucks,125,110
NC,Catawba,125,111
AK,Kenai Peninsula,125,112
AR,Sebastian,125,113
FL,Alachua,126,114
WI,Brown,126,115
IA,Muscatine,126,116
AK,North Slope,126,117
NC,Sampson,126,118
CA,Siskiyou,126,119
DE,Sussex,126,120
AR,Crawford,127,121
TX,McLennan,127,122
TN,Cheatham,128,123
VA,Prince George,128,124
IA,Scott,128,125
SC,York,128,126
OR,Tillamook,130,127
UT,Utah,130,128
WI,Waukesha,130,129
LA,East Baton Rouge Parish,131,130
TN,Tennessee,131,131
FL,Bradford,132,132
MN,Wright,132,133
TX,Caldwell,133,134
MD,Carroll,133,135
GA,Cobb,133,136
CA,Contra Costa,133,137
GA,Gwinnett,133,138
MI,Jackson,133,139
IL,Kane,133,140
IN,LaGrange,133,141
NH,Merrimack,133,142
TX,Dallas,134,143
SC,Greenville,134,144
NC,Harnett,134,145
CT,Litchfield,134,146
GA,Walton,134,147
NC,Guilford,135,148
NC,Iredell,135,149
KS,Kansas,135,150
DE,Kent,135,151
FL,Pasco,135,152
TX,Rockwall,135,153
CO,Arapahoe,136,154
TX,Milam,136,155
CO,Boulder,137,156
NV,Carson City,137,157
CO,Eagle,137,158
NE,Kimball,137,159
MN,Dakota,138,160
GA,Forsyth,138,161
MI,Livingston,138,162
KS,Miami,138,163
OH,Clermont,139,164
GA,Georgia,140,165
FL,Martin,140,166
TX,Presidio,140,167
KY,Shelby,140,168
MD,Baltimore,141,169
PA,Beaver,141,170
SC,Charleston,141,171
SC,Dillon,141,172
FL,Gilchrist,141,173
NJ,Salem,141,174
VA,York,141,175
IN,Indiana,142,176
UT,Cache,143,177
MN,Carver,143,178
OH,Cuyahoga,143,179
SC,Marion,143,180
TX,Milam,143,181
WA,Okanogan,143,182
MN,Sherburne,143,183
PR,Barranquitas Municipio,144,184
IN,Indiana,144,185
OR,Klamath,144,186
FL,Manatee,144,187
CA,Lake,145,188
CA,Colusa,146,189
NJ,Essex,146,190
WA,Island,146,191
WA,Kittitas,146,192
WA,Skamania,146,193
PR,Camuy Municipio,147,194
FL,Duval,147,195
FL,Flagler,147,196
RI,Kent,147,197
NY,New York,147,198
NC,Stokes,147,199
IN,LaPorte,148,200
MN,Waseca,148,201
MA,Worcester,148,202
DC,District of Columbia,149,203
CA,Glenn,149,204
MO,Franklin,150,205
PA,Lancaster,150,206
FL,Putnam,150,207
MN,Ramsey,150,208
PR,Trujillo Alto Municipio,150,209
GA,Columbia,151,210
CO,El Paso,151,211
SC,Greenville,151,212
WI,Dodge,152,213
TX,San Saba,152,214
ID,Twin Falls,152,215
IN,Harrison,153,216
TX,Sherman,153,217
ID,Blaine,154,218
LA,Cameron Parish,154,219
CO,Douglas,154,220
IA,Iowa,154,221
WI,Racine,154,222
CO,Teller,154,223
IN,Boone,155,224
GA,Cherokee,155,225
IL,DuPage,156,226
NC,Forsyth,156,227
OH,Franklin,156,228
SC,Greenville,156,229
WI,Milwaukee,156,230
PR,Morovis Municipio,156,231
NM,Valencia,156,232
VA,Albemarle,157,233
NM,Catron,157,234
ID,Elmore,157,235
MI,Michigan,157,236
IL,St. Clair,157,237
GA,Clayton,158,238
CO,Lincoln,158,239
MN,Hubbard,159,240
TX,Kendall,159,241
MI,Lapeer,159,242
FL,Bradford,160,243
MA,Bristol,160,244
GA,Harris,160,245
OH,Mahoning,160,246
NY,Rensselaer,160,247
CA,Alpine,161,248
MN,Scott,161,249
MA,Suffolk,161,250
TX,Texas,161,251
CO,Arapahoe,162,252
IL,Illinois,162,253
CT,New Haven,162,254
GA,Spalding,162,255
TX,Val Verde,162,256
VT,Bennington,163,257
TX,Brazoria,163,258
GA,DeKalb,163,259
OR,Lincoln,163,260
MA,Massachusetts,163,261
PR,San German Municipio,163,262
TX,Cameron,164,263
VA,Fluvanna,164,264
IN,Marshall,164,265
TX,Waller,164,266
MN,Cook,165,267
OH,Madison,165,268
MI,Oakland,165,269
IL,Stark,165,270
UT,Davis,166,271
IN,Hancock,166,272
OH,Summit,166,273
NV,Carson City,167,274
TX,Hardin,167,275
IL,Henry,167,276
AZ,Maricopa,167,277
NJ,Sussex,167,278
FL,Alachua,168,279
CO,Douglas,168,280
FL,Levy,168,281
NV,Nye,168,282
NC,Stanly,168,283
KS,Butler,169,284
CO,La Plata,169,285
KS,Sumner,169,286
VA,Virginia,169,287
TX,Williamson,169,288
TX,Bastrop,170,289
SC,Calhoun,170,290
MN,Cass,170,291
WI,Walworth,170,292
TX,Wharton,170,293
AL,Chilton,171,294
OR,Deschutes,171,295
MD,Maryland,171,296
TX,Parker,171,297
PR,San Lorenzo Municipio,171,298
WI,Columbia,172,299
UT,Juab,172,300
FL,Manatee,172,301
NV,White Pine,172,302
CA,Alameda,173,303
MA,Berkshire,173,304
SD,Buffalo,173,305
CA,California,173,306
HI,Honolulu,173,307
FL,Leon,173,308
MN,Minnesota,173,309
NM,Mora,173,310
KS,Sedgwick,173,311
AL,Shelby,173,312
TX,Van Zandt,173,313
AZ,Arizona,174,314
VA,Henrico,174,315
CO,Jefferson,174,316
IL,Mercer,174,317
VA,Virginia Beach City,174,318
MA,Barnstable,175,319
NC,Cabarrus,175,320
SD,Hand,175,321
KY,Hardin,175,322
PR,Moca Municipio,175,323
PR,Orocovis Municipio,175,324
CA,Lassen,176,325
NM,Rio Arriba,176,326
NE,Saunders,176,327
TN,Williamson,176,328
PA,Wyoming,176,329
NJ,Cape May,177,330
SC,Greenville,177,331
OR,Josephine,177,332
TN,Montgomery,177,333
NC,New Hanover,177,334
KS,Wyandotte,177,335
MN,Aitkin,178,336
TX,Guadalupe,178,337
MO,Jackson,178,338
KS,Saline,178,339
NV,Eureka,179,340
MN,Nicollet,179,341
KS,Sumner,179,342
VA,Hanover,180,343
MD,Harford,180,344
WA,Whatcom,180,345
FL,Charlotte,181,346
MI,Kalamazoo,181,347
MN,Roseau,181,348
DC,District of Columbia,182,349
AL,Madison,182,350
CA,Placer,182,351
NM,Cibola,183,352
WA,Cowlitz,183,353
HI,Hawaii,183,354
MD,Cecil,184,355
IN,Hendricks,184,356
RI,Providence,184,357
IL,DeKalb,185,358
OR,Josephine,185,359
LA,Calcasieu Parish,186,360
AZ,Coconino,186,361
MI,Leelanau,186,362
CO,Mesa,186,363
MN,Wabasha,186,364
PR,Guayama Municipio,187,365
OR,Morrow,187,366
OH,Ohio,187,367
ND,Sheridan,187,368
CT,Windham,187,369
TX,Wise,187,370
ID,Idaho,188,371
KS,Kingman,188,372
CO,Lincoln,188,373
NJ,Passaic,188,374
RI,Providence,188,375
CO,Denver,189,376
VA,Madison,189,377
MN,Pope,189,378
SD,Custer,190,379
VA,Harrisonburg City,190,380
OR,Jackson,190,381
WA,Kitsap,190,382
IL,Lee,190,383
ND,Morton,190,384
LA,Orleans Parish,190,385
LA,Plaquemines Parish,190,386
MN,Roseau,190,387
MI,Shiawassee,190,388
FL,Florida,191,389
NE,Lancaster,191,390
NM,Santa Fe,191,391
OR,Wasco,191,392
LA,Ascension Parish,192,393
VA,Fairfax,192,394
LA,Iberville Parish,192,395
MN,Kanabec,192,396
UT,Utah,192,397
MD,Cecil,193,398
MN,Kanabec,193,399
MN,Norman,193,400
PR,Salinas Municipio,193,401
NM,Sandoval,193,402
RI,Washington,193,403
CO,Adams,194,404
IL,Champaign,194,405
MA,Worcester,194,406
WY,Albany,195,407
NC,Cleveland,195,408
TX,Dallas,195,409
UT,Kane,195,410
MO,Missouri,195,411
WY,Platte,195,412
PR,Vega Baja Municipio,195,413
MT,Cascade,196,414
TX,Bell,197,415
NE,Blaine,197,416
IL,Cook,197,417
WA,Grays Harbor,197,418
TX,Hays,197,419
NM,McKinley,197,420
CO,Ouray,197,421
FL,Sumter,197,422
MN,Chippewa,198,423
UT,Garfield,198,424
RI,Kent,198,425
CA,Santa Barbara,198,426
ID,Boise,199,427
OR,Clackamas,199,428
TX,Fannin,199,429
VA,Manassas Park City,199,430
ND,McLean,199,431
AZ,Mohave,199,432
NM,Cibola,200,433
OR,Clatsop,200,434
SD,Dewey,200,435
UT,Juab,200,436
TX,Lampasas,200,437
CO,Routt,200,438
NM,San Juan,200,439
ND,Steele,200,440
TX,Coke,201,441
CO,Dolores,201,442
PR,Humacao Municipio,201,443
PR,Arroyo Municipio,202,444
MI,Benzie,202,445
NY,Dutchess,202,446
CO,El Paso,202,447
IL,Ogle,202,448
IA,Plymouth,202,449
TX,San Patricio,202,450
AK,Valdez-Cordova,202,451
WA,Yakima,202,452
PA,Allegheny,203,453
NM,Colfax,203,454
TX,Irion,203,455
IN,Madison,203,456
NY,New York,203,457
OH,Van Wert,203,458
UT,Washington,203,459
OR,Yamhill,203,460
MT,Flathead,204,461
CO,Garfield,204,462
WA,Kitsap,204,463
CA,Marin,204,464
IN,Monroe,204,465
MN,Rice,204,466
MN,Winona,204,467
NJ,Burlington,205,468
AZ,Cochise,205,469
UT,Grand,205,470
OR,Grant,205,471
TX,Johnson,205,472
AZ,La Paz,205,473
TX,Lampasas,205,474
VA,Fairfax,206,475
CA,Glenn,206,476
MI,Grand Traverse,206,477
AZ,Pinal,206,478
NM,San Miguel,206,479
NM,Sandoval,206,480
WY,Teton,206,481
PR,Comerio Municipio,207,482
AK,Kenai Peninsula,207,483
TX,Kent,207,484
NV,Pershing,207,485
WI,Polk,207,486
TN,Sumner,207,487
MN,Winona,207,488
NH,Hillsborough,208,489
CO,La Plata,208,490
NY,Madison,208,491
NE,Nemaha,208,492
OH,Portage,208,493
WA,Stevens,208,494
VA,Arlington,209,495
OR,Douglas,209,496
CA,El Dorado,209,497
WY,Goshen,209,498
OR,Klamath,209,499
OK,Lincoln,209,500
NE,McPherson,209,501
CA,Merced,209,502
SD,Moody,209,503
MN,Ramsey,209,504
FL,Sarasota,209,505
MO,St. Francois,209,506
TX,Terrell,209,507
UT,Cache,210,508
OR,Columbia,210,509
ND,Golden Valley,210,510
CO,San Miguel,210,511
PR,Cayey Municipio,211,512
CA,Kings,211,513
MN,Ramsey,211,514
TX,San Augustine,211,515
FL,Sarasota,211,516
LA,St. John the Baptist Parish,211,517
IA,Worth,211,518
KS,Haskell,212,519
FL,Citrus,213,520
FL,Flagler,213,521
KS,Geary,213,522
KS,Grant,213,523
ND,Hettinger,213,524
VA,Manassas City,213,525
OR,Marion,213,526
NY,Montgomery,213,527
WY,Platte,213,528
WA,Franklin,214,529
NC,Henderson,214,530
OR,Josephine,214,531
NY,Montgomery,214,532
WI,Outagamie,214,533
TX,Chambers,215,534
UT,Davis,215,535
VA,James City,215,536
TX,Tom Green,215,537
IA,Warren,215,538
TX,Burnet,216,539
WI,Burnett,216,540
PR,Catano Municipio,216,541
OK,Cleveland,216,542
KS,Kearny,216,543
IL,Lake,216,544
MT,Lake,216,545
CA,San Diego,216,546
OK,Wagoner,216,547
NY,Wyoming,216,548
MT,Chouteau,217,549
WA,Clark,217,550
NE,Gage,217,551
MS,Oktibbeha,217,552
CO,Yuma,217,553
NC,Buncombe,218,554
OK,Cleveland,218,555
WY,Park,218,556
MT,Prairie,218,557
KS,Scott,218,558
WA,Thurston,218,559
WA,Benton,219,560
CO,Costilla,219,561
NE,Hall,219,562
IL,Henry,219,563
VA,Newport News City,219,564
KS,Pottawatomie,219,565
SD,Roberts,219,566
NM,San Miguel,219,567
WA,Walla Walla,219,568
NC,Forsyth,220,569
FL,Lake,220,570
WY,Platte,220,571
AR,Sebastian,220,572
WI,Barron,221,573
MT,Beaverhead,221,574
SD,Perkins,221,575
AZ,Pima,221,576
KS,Pottawatomie,221,577
MN,Sherburne,221,578
TX,Val Verde,221,579
MN,Wilkin,221,580
OH,Portage,222,581
UT,Garfield,223,582
TX,Gillespie,223,583
PA,Lancaster,223,584
NJ,Monmouth,223,585
IN,Morgan,223,586
UT,Morgan,223,587
FL,Pinellas,223,588
VA,Prince William,223,589
NE,Scotts Bluff,223,590
WA,Whitman,223,591
