"Year","Month","Day","Departure time","Departure delay","Arrival time","Arrival delay","Carrier","TailNum","Flight","Origin","Destination","Air Time","Distance","Hours","Minutes"
"2014","1","1","28","-2","800","-23","US","N547UW","466","PDX","CLT","251","2282","0","28"
"2014","1","1","8","13","548","-4","UA","N3429","610","PDX","IAH","201","1825","0","8"
"2014","1","1","536","1","1334","-6","UA","N574UA","478","SEA","EWR","268","2402","5","36"
"2014","1","1","527","7","917","24","UA","N75433","1576","SEA","DEN","136","1024","5","27"
"2014","1","1","558","-2","801","-2","AS","N402AS","200","SEA","SJC","100","697","5","58"
"2014","1","1","557","-3","825","-25","AS","N562AS","81","SEA","ANC","188","1448","5","57"
"2014","1","1","603","-2","755","-17","AS","N577AS","344","SEA","OAK","94","672","6","3"
"2014","1","1","602","-3","1204","7","UA","N77295","1573","PDX","ORD","203","1739","6","2"
"2014","1","1","618","-2","1135","-30","AA","N4XMAA","1650","PDX","DFW","184","1616","6","18"
"2014","1","1","617","2","850","-12","AS","N579AS","494","SEA","SAN","131","1050","6","17"
"2014","1","1","629","-9","1014","-1","UA","N566UA","883","SEA","DEN","132","1024","6","29"
"2014","1","1","624","-6","1401","-6","DL","N617DL","968","SEA","ATL","235","2182","6","24"
"2014","1","1","638","10","1408","-4","UA","N526UA","250","PDX","IAD","253","2327","6","38"
"2014","1","1","638","-2","1003","-5","AS","N508AS","646","PDX","PHX","125","1009","6","38"
"2014","1","1","648","-7","1203","-9","AS","N419AS","36","SEA","MSP","164","1399","6","48"
"2014","1","1","647","-3","1038","19","AS","N553AS","682","SEA","DEN","136","1024","6","47"
"2014","1","1","656","-4","1242","-28","AA","N3KMAA","2218","PDX","ORD","200","1739","6","56"
"2014","1","1","655","-5","1210","-7","DL","N963DN","2090","PDX","MSP","168","1426","6","55"
"2014","1","1","702","-8","940","-2","OO","N217AG","3472","SEA","LGB","130","965","7","2"
"2014","1","1","702","-3","932","-8","VX","N840VA","1780","SEA","LAX","127","954","7","2"
"2014","1","1","708","-2","1453","-20","DL","N3772H","2258","PDX","JFK","267","2454","7","8"
"2014","1","1","708","-7","1510","-19","AA","N3DNAA","236","SEA","JFK","281","2422","7","8"
"2014","1","1","715","0","944","-10","AS","N617AS","478","SEA","LAX","127","954","7","15"
"2014","1","1","713","20","1317","10","UA","N854UA","461","SEA","IAH","218","1874","7","13"
"2014","1","1","735","5","940","-9","UA","N16732","1114","SEA","SFO","104","679","7","35"
"2014","1","1","728","-2","951","-7","AS","N320AS","530","SEA","ONT","124","956","7","28"
"2014","1","1","757","52","855","45","AS","N705AS","65","SEA","KTN","100","680","7","57"
"2014","1","1","754","-6","1011","-14","AS","N706AS","568","PDX","LAX","111","834","7","54"
"2014","1","1","810","0","1604","-2","AS","N514AS","4","SEA","DCA","259","2329","8","10"
"2014","1","1","810","-10","1419","-11","AA","N3DSAA","1236","SEA","ORD","202","1721","8","10"
"2014","1","1","825","-5","1412","-3","AA","N3BDAA","312","SEA","DFW","183","1660","8","25"
"2014","1","1","824","-1","1546","-14","DL","N633DL","128","SEA","ATL","234","2182","8","24"
"2014","1","1","830","0","1206","-12","US","N667AW","440","SEA","PHX","132","1107","8","30"
"2014","1","1","829","-1","1228","-22","AS","N563AS","861","SEA","OGG","338","2640","8","29"
"2014","1","1","845","0","1640","-9","AS","N407AS","32","SEA","PHL","263","2378","8","45"
"2014","1","1","843","-2","1159","-14","US","N664AW","685","PDX","PHX","122","1009","8","43"
"2014","1","1","922","17","1718","4","AS","N423AS","8","SEA","EWR","272","2402","9","22"
"2014","1","1","919","39","1307","12","HA","N383HA","21","SEA","HNL","330","2677","9","19"
"2014","1","1","946","-4","1220","-38","AS","N793AS","131","PDX","ANC","197","1542","9","46"
"2014","1","1","944","-6","1727","-8","AS","N548AS","752","PDX","ATL","252","2172","9","44"
"2014","1","1","952","7","1345","10","AS","N609AS","644","SEA","PHX","138","1107","9","52"
"2014","1","1","952","-3","1223","-14","AS","N791AS","238","SEA","SAN","135","1050","9","52"
"2014","1","1","1005","-5","1608","2","AS","N619AS","686","PDX","ORD","222","1739","10","5"
"2014","1","1","1001","1","1157","-5","AS","N546AS","346","SEA","OAK","98","672","10","1"
"2014","1","1","1021","-9","1347","-10","AS","N318AS","640","PDX","PHX","126","1009","10","21"
"2014","1","1","1014","75","1613","81","UA","N37408","1444","SEA","ORD","201","1721","10","14"
"2014","1","1","1036","81","1408","63","OO","N218AG","3466","PDX","TUS","134","1119","10","36"
"2014","1","1","1034","14","1633","6","AS","N413AS","730","SEA","IAH","214","1874","10","34"
"2014","1","1","1052","-3","1316","-9","VX","N844VA","784","SEA","LAX","126","954","10","52"
"2014","1","1","1045","40","1303","40","AS","N614AS","580","PDX","SNA","123","859","10","45"
"2014","1","1","1102","2","1307","-13","AS","N549AS","316","SEA","SFO","98","679","11","2"
"2014","1","1","1059","44","1325","32","DL","N335NB","2189","PDX","SLC","75","630","10","59"
"2014","1","1","1113","-2","1427","-8","WN","N293WN","3042","PDX","DEN","121","991","11","13"
"2014","1","1","1113","-2","1638","-27","AA","N3GJAA","1311","SEA","DFW","184","1660","11","13"
"2014","1","1","1127","57","1400","52","OO","N824SK","4564","SEA","LAX","122","954","11","27"
"2014","1","1","1126","-4","1916","-19","US","N196UW","2019","SEA","PHL","267","2378","11","26"
"2014","1","1","1136","11","1349","19","OO","N784SK","5214","SEA","SFO","102","679","11","36"
"2014","1","1","1135","-5","1422","5","AS","N537AS","500","SEA","SNA","126","978","11","35"
"2014","1","1","1147","-3","1349","-6","OO","N693BR","3496","SEA","FAT","97","748","11","47"
"2014","1","1","1147","17","1415","24","AS","N565AS","578","PDX","SAN","119","933","11","47"
"2014","1","1","1158","6","1915","-14","DL","N6712B","1962","SEA","ATL","234","2182","11","58"
"2014","1","1","1156","0","1235","-3","OO","N237SW","5325","PDX","RDM","27","116","11","56"
"2014","1","1","1203","13","1429","14","WN","N788SA","3390","SEA","LAS","117","867","12","3"
"2014","1","1","1203","-7","1456","8","AS","N626AS","484","SEA","SAN","134","1050","12","3"
"2014","1","1","1223","-2","1625","12","AS","N523AS","648","SEA","TUS","146","1216","12","23"
"2014","1","1","1220","15","1544","9","WN","N613SW","3518","PDX","ABQ","132","1111","12","20"
"2014","1","1","1237","37","1604","14","WN","N961WN","3696","SEA","PHX","131","1107","12","37"
"2014","1","1","1235","-5","1822","-20","AS","N587AS","692","SEA","SAT","201","1774","12","35"
"2014","1","1","1243","-7","1440","0","AS","N607AS","388","PDX","SFO","86","550","12","43"
"2014","1","1","1242","70","1617","58","US","N625AW","614","SEA","PHX","134","1107","12","42"
"2014","1","1","1254","49","1524","35","OO","N925SW","6371","SEA","LAX","126","954","12","54"
"2014","1","1","1253","-7","1808","-8","DL","N964DN","2164","PDX","MSP","174","1426","12","53"
"2014","1","1","1303","28","1912","39","AS","N307AS","22","SEA","ORD","202","1721","13","3"
"2014","1","1","1302","-3","1836","-15","AS","N403AS","664","SEA","DFW","183","1660","13","2"
"2014","1","1","1310","-5","1523","-7","OO","N223AG","3478","PDX","LGB","117","846","13","10"
"2014","1","1","1309","19","1447","17","WN","N936WN","518","SEA","RNO","74","564","13","9"
"2014","1","1","1325","5","1518","-7","WN","N444WN","425","PDX","LAS","103","763","13","25"
"2014","1","1","1323","3","2102","-12","US","N199UW","1897","SEA","CLT","254","2279","13","23"
"2014","1","1","1349","10","1547","-3","UA","N79279","1299","SEA","SFO","101","679","13","49"
"2014","1","1","1347","-3","1533","-2","AS","N306AS","362","SEA","SMF","82","605","13","47"
"2014","1","1","1422","57","2047","72","AA","N3DPAA","115","PDX","ORD","200","1739","14","22"
"2014","1","1","1405","0","1619","4","AS","N579AS","318","SEA","SFO","103","679","14","5"
"2014","1","1","1438","13","1706","6","AS","N706AS","454","SEA","LAX","126","954","14","38"
"2014","1","1","1434","27","2218","8","B6","N564JB","598","SEA","BOS","269","2496","14","34"
