repeat_flag predicted,repeat_flag_probability,repeat_flag,category,company,brand,l_offer,quantity,offervalue,agg_qty,agg_amt,l_alias_gender,age,state,__of_subscriber,avg___daily_calls_received
0,0.018,0,_5616,_104610040,_15889,_1204576,1,1,2,6.78,F,16-25,OH,518817,14364
0,0.465,0,_4401,_105100050,_13791,_1199256,1,2,1,2.99,F,16-25,SC,550478,16754
0,0.137,0,_3203,_106414464,_13474,_1197502,1,0.75,3,10.87,F,16-25,CA,501278,15143
0,0.723,1,_4401,_105100050,_13791,_1199258,1,2,2,6.98,F,36-45,VA,508604,15226
0,0.707,1,_4401,_105100050,_13791,_1199258,1,2,2,3.56,F,26-35,AZ,525634,14637
0,0.68,1,_5616,_104610040,_15889,_1204576,1,1,2,5.28,F,36-45,NC,582264,15795
0,0.121,0,_4401,_105100050,_13791,_1199258,1,2,1,2.59,F,36-45,MI,550245,15990
0,0.089,0,_4401,_105100050,_13791,_1199258,1,2,2,2.18,M,16-25,MD,531718,14784
0,0.506,0,_3203,_106414464,_13474,_1197502,1,0.75,50,146.7,M,36-45,KS,529882,15734
0,0.44,0,_3203,_106414464,_13474,_1197502,1,0.75,3,15.17,F,16-25,PA,462612,14844
0,0.999,1,_2202,_104460040,_3718,_1208251,1,2,2,7.98,F,36-45,ID,459322,15012
0,0.183,0,_3203,_106414464,_13474,_1197502,1,0.75,21,22.44,M,36-45,CT,476402,15845
0,0.824,1,_6202,_1087744888,_64486,_1208503,1,1.5,6,32.54,M,26-35,OH,521816,15368
0,0.767,1,_2202,_104460040,_3718,_1208251,1,2,4,11.96,F,26-35,PA,548282,15546
0,0.625,0,_2119,_108079383,_6926,_1208329,1,1,3,3,F,16-25,MI,506433,15157
0,0.664,1,_2202,_104460040,_3718,_1208252,1,3,5,15.97,M,26-35,MD,528964,14927
0,0.41,0,_3203,_106414464,_13474,_1197502,1,0.75,1,3.69,M,16-25,VA,518952,15360
0,0.999,1,_3203,_106414464,_13474,_1197502,1,0.75,5,7.15,F,36-45,OK,512188,16047
0,0.213,0,_5558,_107120272,_5072,_1198271,1,1.5,15,68.75,F,16-25,KS,516618,15495
0,0.764,1,_5616,_104610040,_15889,_1204576,1,1,5,25.55,M,26-35,FL,516096,15861
0,0.879,1,_5616,_104610040,_15889,_1204576,1,1,26,49.36,F,16-25,AZ,563720,16276
0,0.016,0,_5616,_104610040,_15889,_1204576,1,1,18,53.05,M,26-35,OK,510791,15442
0,0.116,0,_1726,_104460040,_7668,_1200581,1,1.25,2,3.19,F,16-25,MN,507503,15737
0,0.88,1,_5616,_104610040,_15889,_1204576,1,1,2,7.58,F,36-45,UT,537914,15493
0,0.831,1,_3203,_106414464,_13474,_1197502,1,0.75,5,28.45,M,26-35,ID,552738,16641
0,0.622,0,_5558,_107120272,_5072,_1198274,1,1.5,1,6.29,M,36-45,LA,590646,16883
0,0.142,0,_3203,_106414464,_13474,_1197502,1,0.75,4,23.96,F,36-45,IN,490977,14698
0,0.606,0,_4401,_105100050,_13791,_1199258,1,2,12,41.68,F,26-35,AL,532816,15649
0,0.363,0,_3203,_106414464,_13474,_1197502,1,0.75,6,32.94,M,26-35,KY,526763,15521
0,0.93,1,_2119,_108079383,_6926,_1208329,1,1,36,44.27,M,36-45,LA,590646,16883
0,0.007,0,_3203,_106414464,_13474,_1197502,1,0.75,1,1.59,M,36-45,OH,517362,15509
0,0.312,0,_2202,_104460040,_3718,_1208251,1,2,2,7.98,F,36-45,IL,518627,15672
0,0.51,0,_5558,_107120272,_5072,_1198272,1,1.5,4,12.76,M,26-35,WA,517404,15870
0,0.249,0,_2202,_104460040,_3718,_1208251,1,2,2,3.49,M,26-35,MI,519430,15405
0,0.414,0,_3203,_106414464,_13474,_1197502,1,0.75,1,7.99,M,36-45,NC,529551,15379
0,0.394,0,_1703,_104460040,_7668,_1200579,1,1.5,17,51.19,M,26-35,WI,557816,16334
0,0.176,0,_4401,_105100050,_13791,_1199258,1,2,5,10.93,F,16-25,NY,499716,14844
1,0.757,1,_2202,_104460040,_3718,_1208252,1,3,5,34.95,F,26-35,ID,560017,15184
0,0.057,0,_3203,_106414464,_13474,_1197502,1,0.75,5,47.95,M,26-35,AR,530914,15854
0,0.868,1,_2202,_104460040,_3718,_1208251,1,2,4,-4.25,M,16-25,WI,551962,16070
0,0.181,0,_3203,_106414464,_13474,_1197502,1,0.75,2,2,F,16-25,SC,550478,16754
0,0.187,0,_9909,_1089520383,_28840,_1203052,1,1,1,4.59,M,36-45,MI,563625,14973
0,0.017,0,_3203,_106414464,_13474,_1197502,1,0.75,11,30.55,M,26-35,NC,529376,15524
0,0.876,1,_3203,_106414464,_13474,_1197502,1,0.75,2,3.69,F,26-35,TX,478150,15275
0,0.955,1,_5558,_107120272,_5072,_1198274,1,1.5,3,69.47,F,36-45,WA,505717,14929
0,0.295,0,_4401,_105100050,_13791,_1199258,1,2,1,4.99,M,16-25,UT,560327,16434
0,0.282,0,_3203,_106414464,_13474,_1197502,1,0.75,8,7.39,M,36-45,NC,529551,15379
0,0.88,1,_1726,_104460040,_7668,_1200581,1,1.25,1,1.59,F,16-25,MN,507503,15737
1,0.68,1,_2119,_108079383,_6926,_1208329,1,1,8,11.36,M,16-25,IL,506578,15371
0,0.379,0,_4401,_105100050,_13791,_1199258,1,2,5,35.31,F,26-35,OK,479346,15639
0,0.619,0,_5616,_104610040,_15889,_1204576,1,1,2,13.38,F,16-25,UT,502082,15541
0,0.894,1,_9909,_1089520383,_28840,_1203052,1,1,2,5.5,F,16-25,KS,516618,15495
0,0.725,1,_3203,_106414464,_13474,_1197502,1,0.75,1,2.99,F,16-25,MI,506433,15157
0,0.809,1,_3203,_106414464,_13474,_1197502,1,0.75,2,23.98,F,26-35,ID,560017,15184
0,0.435,0,_3203,_106414464,_13474,_1197502,1,0.75,2,6.29,F,16-25,NJ,534222,15897
0,0.657,0,_3203,_106414464,_13474,_1197502,1,0.75,1,6.49,F,16-25,OH,507340,16407
0,0.55,0,_3203,_106414464,_13474,_1197502,1,0.75,5,18.06,M,26-35,IL,481503,14624
0,0.552,0,_4401,_105100050,_13791,_1199258,1,2,1,8.29,F,16-25,CA,501278,15143
0,0.514,0,_3203,_106414464,_13474,_1197502,1,0.75,12,16.48,M,16-25,FL,570370,16291
0,0.846,1,_3203,_106414464,_13474,_1197502,1,0.75,17,57.83,F,36-45,AL,469383,14668
0,0.668,1,_3203,_106414464,_13474,_1197502,1,0.75,1,3,F,16-25,AZ,563720,16276
0,0.983,1,_2119,_108079383,_6926,_1208329,1,1,3,10.97,F,36-45,KY,519732,15125
0,0.11,0,_2202,_104460040,_3718,_1208251,1,2,16,13.59,M,36-45,VA,498980,14567
1,0.993,1,_6202,_1087744888,_64486,_1208501,1,1.5,2,3.98,F,26-35,ME,532723,14606
0,0.105,0,_3203,_106414464,_13474,_1197502,1,0.75,7,20.03,M,36-45,VA,498980,14567
0,0.63,0,_2202,_104460040,_3718,_1208251,1,2,2,8.49,F,26-35,KS,528758,16010
0,0.373,0,_3203,_106414464,_13474,_1197502,1,0.75,1,4.79,F,36-45,OK,512188,16047
0,0.078,0,_1726,_104460040,_7668,_1200581,1,1.25,3,4.17,M,16-25,FL,570370,16291
0,0.018,0,_2202,_104460040,_3718,_1208251,1,2,1,7.49,M,16-25,MI,499035,15792
1,0.084,0,_2202,_104460040,_3718,_1208252,1,3,8,37.52,F,36-45,AL,469383,14668
0,0.092,0,_6202,_1087744888,_64486,_1208501,1,1.5,2,3.79,M,16-25,PA,481293,14985
0,0.863,1,_3203,_106414464,_13474,_1197502,1,0.75,1,6.59,F,36-45,NJ,516518,15743
0,0.4,0,_3203,_106414464,_13474,_1197502,1,0.75,2,2.18,M,26-35,ME,548854,15834
0,0.644,0,_2119,_108079383,_6926,_1208329,1,1,1,2.99,F,36-45,MI,550245,15990
0,0.091,0,_2202,_104460040,_3718,_1208251,1,2,2,-0.01,M,26-35,OK,510791,15442
0,0.302,0,_3203,_106414464,_13474,_1197502,1,0.75,1,2.79,M,26-35,AZ,519723,15140
0,0.159,0,_2202,_104460040,_3718,_1208251,1,2,1,2.29,F,36-45,OH,564409,15996
0,0.452,0,_3203,_106414464,_13474,_1197502,1,0.75,1,4.59,F,16-25,ID,562848,16059
0,0.664,1,_2119,_108079383,_6926,_1208329,1,1,2,-3.01,F,26-35,IN,497780,14676
0,0.636,0,_2202,_104460040,_3718,_1208252,1,3,4,23.06,M,26-35,IA,506879,16070
0,0.154,0,_9909,_107127979,_6732,_1194044,1,1,3,10.77,M,26-35,KY,526763,15521
0,0.394,0,_2119,_108079383,_6926,_1208329,1,1,6,20.69,F,26-35,AZ,525634,14637
0,0.309,0,_3203,_106414464,_13474,_1197502,1,0.75,1,15.79,F,36-45,PA,540030,15788
0,0.231,0,_3203,_106414464,_13474,_1197502,1,0.75,3,7.99,M,26-35,FL,516096,15861
0,0.805,1,_6202,_1087744888,_64486,_1208501,1,1.5,10,41.1,M,26-35,WA,517404,15870
0,0.6,0,_3203,_106414464,_13474,_1197502,1,0.75,1,2.5,F,36-45,IL,518627,15672
0,0.411,0,_2119,_108079383,_6926,_1208329,1,1,1,5.11,F,16-25,TX,548315,16465
0,0.362,0,_4401,_105100050,_13791,_1199258,1,2,3,10.97,F,16-25,FL,523296,16138
0,0.745,1,_9909,_1089520383,_28840,_1203052,1,1,1,1.79,F,16-25,KS,516618,15495
0,0.027,0,_3203,_106414464,_13474,_1197502,1,0.75,13,17.32,M,26-35,OH,542665,15277
0,0.177,0,_2202,_104460040,_3718,_1208251,1,2,11,21.89,F,16-25,IL,481150,15586
0,0.481,0,_5558,_107120272,_5072,_1198275,1,1.5,29,69.4,F,26-35,VA,430057,13973
1,0.495,0,_2119,_108079383,_6926,_1208329,1,1,21,25.15,M,16-25,ID,494103,15303
0,0.728,1,_3203,_106414464,_13474,_1197502,1,0.75,5,10.15,M,16-25,OK,540083,14979
