"l_id","chain","category","company","brand","l_offer","l_alias_market","repeattrips","repeater","offerdate","quantity","offervalue","agg_qty","agg_amt","freq","l_alias_gender","age","zip","__of_subscriber","avg___daily_calls_received","avg__duration__mins__per_call_received","avg____distinct_numbers_daily_calls_received_from","avg____distinct_numbers_weekly_calls_received_from","avg___daily_calls_made","avg___weekly_calls_made","avg__duration__mins__per_call_made","avg____distinct_numbers_daily_calls_made_to","avg____distinct_numbers_weekly_calls_made_to","__daily_messages_received","__weekly_messages_received","avg____distinct_numbers_daily_msgs_received_from","avg____distinct_numbers_weekly_msgs_received_from","__daily_messages_sent","__weekly_messages_sent","avg____distinct_numbers_daily_msgs_sent_to","avg____distinct_numbers_weekly_msgs_sent_to","repeat_flag"
"2673654811","89","3203","106414464","13474","1197502","16","1","t","3/26/2013 0:00","1","0.75","2","3.1000000000000001","2","F",">45","19940","300","8","9","16","48","5","35","18","5","15","27","189","6","18","13","91","7","21","1"
"2627893674","42","2202","104460040","3718","1208251","20","2","t","4/24/2013 0:00","1","2","1","5.9900000000000002","3","F",">45","20009","2591","24","15","27","81","4","28","20","1","3","6","42","6","18","7","49","2","6","1"
"2623952257","166","9909","1089520383","28840","1203052","14","14","t","4/3/2013 0:00","1","1","2","15.57","15","F",">45","20204","0","20","7","9","27","17","119","15","2","6","22","154","7","21","9","63","10","30","1"
"2646700814","21","3203","106414464","13474","1197502","10","0","f","4/17/2013 0:00","1","0.75","4","17.359999999999999","1","F",">45","20011","3160","7","18","15","45","4","28","19","12","36","28","196","1","3","3","21","2","6","0"
"2677331703","21","3203","106414464","13474","1197502","10","0","f","4/1/2013 0:00","1","0.75","1","4.1900000000000004","1","F",">45","20011","3160","7","18","15","45","4","28","19","12","36","28","196","1","3","3","21","2","6","0"
"2663790310","126","2202","104460040","3718","1208251","18","0","f","4/24/2013 0:00","1","2","4","6.7599999999999998","1","F",">45","20137","81","6","9","28","84","4","28","5","6","18","15","105","9","27","30","210","7","21","0"
"2666725935","285","3203","106414464","13474","1197502","33","0","f","4/6/2013 0:00","1","0.75","21","79.590000000000003","1","F",">45","20744","2738","19","14","7","21","13","91","5","14","42","10","70","4","12","24","168","8","24","0"
"2674308073","285","5616","104610040","15889","1204576","33","0","f","4/4/2013 0:00","1","1","5","29.850000000000001","1","F",">45","20744","2738","19","14","7","21","13","91","5","14","42","10","70","4","12","24","168","8","24","0"
"2625183934","65","4401","105100050","13791","1199258","26","0","f","3/25/2013 0:00","1","2","16","33.039999999999999","1","F",">45","20190","946","12","2","17","51","17","119","11","12","36","17","119","4","12","3","21","10","30","0"
"2627116437","46","5558","107120272","5072","1198272","15","0","f","3/25/2013 0:00","1","1.5","2","8.2300000000000004","1","F",">45","20650","740","18","12","19","57","4","28","10","12","36","21","147","10","30","19","133","5","15","0"
"2652223827","285","5558","107120272","5072","1198271","33","0","f","3/27/2013 0:00","1","1.5","4","2.6600000000000001","1","F",">45","20688","98","21","10","1","3","7","49","20","8","24","2","14","8","24","23","161","8","24","0"
"2629526682","101","3203","106414464","13474","1197502","20","0","f","3/29/2013 0:00","1","0.75","1","1.99","1","F",">45","21208","1831","25","4","11","33","5","35","8","2","6","19","133","9","27","22","154","7","21","0"
"2642986233","21","6202","1087744888","64486","1208503","10","0","f","4/24/2013 0:00","1","1.5","1","1.5","1","F",">45","21224","2653","23","3","22","66","6","42","14","11","33","12","84","2","6","29","203","4","12","0"
"2632343494","96","3203","106414464","13474","1197502","27","0","f","3/29/2013 0:00","1","0.75","4","15.960000000000001","1","F",">45","21524","33","14","15","22","66","12","84","9","9","27","11","77","8","24","9","63","10","30","0"
"2639920909","285","5616","104610040","15889","1204576","33","0","f","4/5/2013 0:00","1","1","2","4.2800000000000002","1","F",">45","20735","1912","26","18","26","78","10","70","20","13","39","17","119","12","36","6","42","1","3","0"
"2667358365","104","3203","106414464","13474","1197502","2","0","f","3/27/2013 0:00","1","0.75","1","1.99","1","F",">45","20866","720","30","2","0","0","25","175","17","1","3","13","91","7","21","28","196","6","18","0"
"2640689860","96","2202","104460040","3718","1208252","27","0","f","4/25/2013 0:00","1","3","1","19.989999999999998","1","F",">45","21524","33","14","15","22","66","12","84","9","9","27","11","77","8","24","9","63","10","30","0"
"2639921985","285","3504","104460040","7668","1200584","33","0","f","4/2/2013 0:00","1","1.25","12","20.18","1","F",">45","21671","40","1","12","17","51","22","154","6","15","45","18","126","5","15","1","7","9","27","0"
"2659787160","46","3203","106414464","13474","1197502","15","0","f","3/30/2013 0:00","1","0.75","117","144.74000000000001","1","F",">45","21705","0","27","9","1","3","4","28","7","1","3","10","70","14","42","14","98","6","18","0"
