"l_id","chain","category","company","brand","l_offer","l_alias_market","repeattrips","repeater","offerdate","quantity","offervalue","agg_qty","agg_amt","freq","l_alias_gender","age","state","__of_subscriber","avg___daily_calls_received","avg__duration__mins__per_call_received","avg____distinct_numbers_daily_calls_received_from","avg____distinct_numbers_weekly_calls_received_from","avg___daily_calls_made","avg___weekly_calls_made","avg__duration__mins__per_call_made","avg____distinct_numbers_daily_calls_made_to","avg____distinct_numbers_weekly_calls_made_to","__daily_messages_received","__weekly_messages_received","avg____distinct_numbers_daily_msgs_received_from","avg____distinct_numbers_weekly_msgs_received_from","__daily_messages_sent","__weekly_messages_sent","avg____distinct_numbers_daily_msgs_sent_to","avg____distinct_numbers_weekly_msgs_sent_to","repeat_flag"
"_2619313458","_96","_5616","_104610040","_15889","_1204576","_17","0","f","4/4/2013 0:00","1","1","2","6.7800000000000002","1","F","16-25","OH","518817","14364","10487","15605","46815","13091","91637","9659","8112","24336","15528","108696","7977","23931","15867","111069","5058","15174","0"
"_2629493050","_21","_4401","_105100050","_13791","_1199256","_21","0","f","3/13/2013 0:00","1","2","1","2.9900000000000002","1","F","16-25","SC","550478","16754","11458","16192","48576","14085","98595","11116","8748","26244","16902","118314","8512","25536","16658","116606","5368","16104","0"
"_2639923966","_285","_3203","_106414464","_13474","_1197502","_3","0","f","3/30/2013 0:00","1","0.75","3","10.869999999999999","1","F","16-25","CA","501278","15143","10637","15020","45060","13137","91959","10317","8103","24309","15687","109809","8097","24291","15533","108731","4969","14907","0"
"_2655396622","_21","_4401","_105100050","_13791","_1199258","_24","1","t","3/14/2013 0:00","1","2","2","6.9800000000000004","2","F","36-45","VA","508604","15226","10899","15382","46146","13796","96572","10180","8033","24099","15896","111272","8046","24138","15933","111531","5254","15762","1"
"_2660959727","_21","_4401","_105100050","_13791","_1199258","_27","1","t","3/18/2013 0:00","1","2","2","3.5600000000000001","2","F","26-35","AZ","525634","14637","10437","14486","43458","13139","91973","9706","7839","23517","15320","107240","7827","23481","15463","108241","4887","14661","1"
"_2674761466","_101","_5616","_104610040","_15889","_1204576","_13","1","t","4/7/2013 0:00","1","1","2","5.2800000000000002","2","F","36-45","NC","582264","15795","11007","16259","48777","14020","98140","11021","8523","25569","16396","114772","8549","25647","16671","116697","5287","15861","1"
"_2639073662","_240","_4401","_105100050","_13791","_1199258","_11","0","f","3/17/2013 0:00","1","2","1","2.5899999999999999","1","F","36-45","MI","550245","15990","11317","15887","47661","13905","97335","10849","8611","25833","16973","118811","8662","25986","16856","117992","5247","15741","0"
"_2680110538","_40","_4401","_105100050","_13791","_1199258","_10","0","f","3/24/2013 0:00","1","2","2","2.1800000000000002","1","M","16-25","MD","531718","14784","10941","15287","45861","13190","92330","10310","7837","23511","15837","110859","7984","23952","15763","110341","4832","14496","0"
"_2655392726","_21","_3203","_106414464","_13474","_1197502","_7","0","f","4/16/2013 0:00","1","0.75","50","146.69999999999999","1","M","36-45","KS","529882","15734","10802","15689","47067","13347","93429","9997","8263","24789","15912","111384","8173","24519","16126","112882","5264","15792","0"
"_2648235214","_42","_3203","_106414464","_13474","_1197502","_20","0","f","3/29/2013 0:00","1","0.75","3","15.17","1","F","16-25","PA","462612","14844","10558","14852","44556","12964","90748","9552","7838","23514","15596","109172","7811","23433","15051","105357","5067","15201","0"
"_2668958435","_42","_2202","_104460040","_3718","_1208251","_30","1","t","4/24/2013 0:00","1","2","2","7.9800000000000004","2","F","36-45","ID","459322","15012","10471","14765","44295","13316","93212","9841","7785","23355","15181","106267","7872","23616","15407","107849","5044","15132","1"
"_2627299211","_360","_3203","_106414464","_13474","_1197502","_29","0","f","3/31/2013 0:00","1","0.75","21","22.440000000000001","1","M","36-45","CT","476402","15845","10837","15789","47367","13465","94255","10754","8198","24594","15064","105448","8261","24783","16013","112091","5001","15003","0"
"_2639281185","_96","_6202","_1087744888","_64486","_1208503","_18","1","t","4/29/2013 0:00","1","1.5","6","32.539999999999999","2","M","26-35","OH","521816","15368","10788","15098","45294","13025","91175","10142","8028","24084","15290","107030","8036","24108","15668","109676","4921","14763","1"
"_2655189232","_507","_2202","_104460040","_3718","_1208251","_20","1","t","4/29/2013 0:00","1","2","4","11.960000000000001","2","F","26-35","PA","548282","15546","11510","15924","47772","13265","92855","10307","8223","24669","16529","115703","8475","25425","15796","110572","5357","16071","1"
"_2660936441","_16","_2119","_108079383","_6926","_1208329","_11","0","f","4/22/2013 0:00","1","1","3","3","1","F","16-25","MI","506433","15157","10936","15652","46956","12714","88998","10279","8188","24564","15557","108899","8165","24495","15616","109312","5130","15390","0"
"_2674144821","_42","_2202","_104460040","_3718","_1208252","_10","7","t","4/23/2013 0:00","1","3","5","15.970000000000001","8","M","26-35","MD","528964","14927","10624","15556","46668","13301","93107","10258","7968","23904","16054","112378","8272","24816","15885","111195","5271","15813","1"
"_2683368733","_285","_3203","_106414464","_13474","_1197502","_24","0","f","4/9/2013 0:00","1","0.75","1","3.6899999999999999","1","M","16-25","VA","518952","15360","10753","15494","46482","13226","92582","10172","8301","24903","15446","108122","8275","24825","15936","111552","5067","15201","0"
"_2679087495","_285","_3203","_106414464","_13474","_1197502","_19","1","t","3/25/2013 0:00","1","0.75","5","7.1500000000000004","2","F","36-45","OK","512188","16047","10927","16242","48726","13605","95235","10072","8318","24954","16194","113358","8557","25671","16655","116585","5213","15639","1"
